Capability ID,Capability,v5 Category,Preserved-v4.2
AGENT-001,Provider-neutral semantic roles,Agents and Parallelism,yes
AGENT-002,Read-only Context Scout,Agents and Parallelism,yes
AGENT-003,Focused fresh task briefs,Agents and Parallelism,yes
AGENT-004,Isolated worktree per implementation Issue,Agents and Parallelism,yes
AGENT-005,Atomic remote branch claim,Agents and Parallelism,yes
AGENT-006,DISPATCHING ACTIVE COMPLETE BLOCKED UNKNOWN states,Agents and Parallelism,yes
AGENT-007,One mutable writer,Agents and Parallelism,yes
AGENT-008,Deterministic parallel safety analysis,Agents and Parallelism,yes
AGENT-009,Fresh-provider independent verifier,Agents and Parallelism,yes
AGENT-010,No default multi-agent councils,Agents and Parallelism,no
AGENT-011,Explicit SAFE-only tool concurrency,Agents and Parallelism,no
CI-001,One final required PR Gate,Control Plane,yes
CI-002,Exact expected lane-set validation,Control Plane,yes
CI-003,Exact-head stale protection,Control Plane,yes
CI-004,Required workflows always report,Control Plane,yes
CI-005,Internal relevance detection,Control Plane,yes
CI-006,Read-only code-executing workers,Control Plane,yes
CI-007,Privileged jobs execute no PR code,Control Plane,yes
CI-008,Full-SHA action and runtime pins,Control Plane,yes
CI-009,Expected-head native auto-merge binding,Control Plane,yes
CI-010,Control-plane self-modification guard,Control Plane,yes
CI-011,Live settings and ruleset read-back,Control Plane,yes
CI-012,Owner bypass and zero native approvals,Control Plane,yes
CONT-001,Disposable model context principle,Continuity,yes
CONT-002,Git and GitHub outrank recollection,Continuity,yes
CONT-003,Durable Agent Continuity Protocol,Continuity,yes
CONT-004,Append-only Continuity Journal,Continuity,yes
CONT-005,Hash-chained typed continuity events,Continuity,yes
CONT-006,Derived State Snapshot,Continuity,yes
CONT-007,Bounded provider-neutral Task Capsule,Continuity,yes
CONT-008,Atomic checkpoint transaction,Continuity,yes
CONT-009,Deterministic replay and live reconciliation,Continuity,yes
CONT-010,Handoff Acceptance Test,Continuity,yes
CONT-011,Generation-bound one-writer lease,Continuity,yes
CONT-012,Idempotent external side effects,Continuity,yes
CONT-013,Continuity schema evolution and migration,Continuity,yes
CONT-014,Continuity retention and redaction,Continuity,yes
CONT-015,Clean-room provider-switch restore,Continuity,yes
CONT-016,Cross-provider continuity benchmark,Continuity,yes
CONT-017,Zero automatic-compaction operating target,Continuity,no
CONT-018,Context Budget Governor and planned fresh-session rotation,Continuity,no
CONT-019,Bounded tool-output bytes with continuation handles,Continuity,no
CONT-020,Concise directory domain symbol and source-plane map,Continuity,no
DISC-001,Ephemeral single-surface idea capture,Discovery and Autonomy,yes
DISC-002,AI Shape/Draft before commitment,Discovery and Autonomy,yes
DISC-003,Decision-changing research contract,Discovery and Autonomy,yes
DISC-004,Bounded research budget and stop rule,Discovery and Autonomy,yes
DISC-005,Explicit Outcome/Bet GO CHANGE DEFER KILL promotion,Discovery and Autonomy,yes
DISC-006,Versioned Product Truth,Discovery and Autonomy,yes
DISC-007,Evidence-weighted Autonomy Envelope,Discovery and Autonomy,yes
DISC-008,Reversibility blast-radius novelty ambiguity factors,Discovery and Autonomy,yes
DISC-009,Autonomous guardrailed advisory owner-gated modes,Discovery and Autonomy,yes
DISC-010,No duplicate discovery backlog,Discovery and Autonomy,yes
DISC-011,First-class IMPLEMENT NO_CHANGE INSUFFICIENT_EVIDENCE OWNER_DECISION outcomes,Discovery and Autonomy,no
DOC-001,README human front door,Documentation,yes
DOC-002,Short AGENTS constitution router,Documentation,yes
DOC-003,AGENTS bounded bootloader target,Documentation,yes
DOC-004,Import-only provider adapters,Documentation,yes
DOC-005,Canonical routed standards modules,Documentation,yes
DOC-006,Normative explanatory generated ephemeral classes,Documentation,yes
DOC-007,Documentation authority metadata,Documentation,yes
DOC-008,Documentation freshness triggers,Documentation,yes
DOC-009,Unique normative rule IDs,Documentation,yes
DOC-010,No duplicate normative authority,Documentation,yes
DOC-011,Cookbook and Overview non-authority separation,Documentation,yes
DOC-012,Progressive disclosure and context budget,Documentation,yes
DOC-013,Semantic-preserving template formatting,Documentation,yes
DOC-014,Historical Test Ledger is non-gating,Documentation,yes
DOC-015,Frozen requirement-translation corpus,Documentation,yes
EVID-001,Proof-carrying pull request,Evidence,yes
EVID-002,Exact-head evidence manifest,Evidence,yes
EVID-003,Stable evidence IDs,Evidence,yes
EVID-004,Claim-linked selectors and commands,Evidence,yes
EVID-005,SHA-256 artifact binding,Evidence,yes
EVID-006,Managed Issue and PR Evidence Index,Evidence,yes
EVID-007,Failure artifacts uploaded always,Evidence,yes
EVID-008,Provider runtime prompt provenance,Evidence,yes
EVID-009,Evidence expiration and retention,Evidence,yes
EXT-001,Catalog separated from active and resident extension profile,Extensions and Capability Supply,no
EXT-002,AVAILABLE STAGED ENABLED RESIDENT INVOKED VERIFIED DEGRADED lifecycle,Extensions and Capability Supply,no
EXT-003,Metadata-only discovery and JIT skill-body loading,Extensions and Capability Supply,no
EXT-004,Task extension footprint and MCP activation budgets,Extensions and Capability Supply,no
EXT-005,Phase-specific extension profiles,Extensions and Capability Supply,no
EXT-006,Formal standard-to-agent-extensions sibling contract,Extensions and Capability Supply,no
EXT-007,Exact extension locks source license and provenance,Extensions and Capability Supply,no
EXT-008,Provider capability manifest and conformance status,Extensions and Capability Supply,no
EXT-009,Real-provider canaries and automatic DEGRADED adapters,Extensions and Capability Supply,no
EXT-010,Generated provider and harness configuration,Extensions and Capability Supply,no
FAIL-001,Operational Recovery Loop,Failure and Recovery,yes
FAIL-002,Failure preservation before retry,Failure and Recovery,yes
FAIL-003,Failure taxonomy and UNKNOWN class,Failure and Recovery,yes
FAIL-004,One accountable lane per failure,Failure and Recovery,yes
FAIL-005,Retry-versus-repair contract,Failure and Recovery,yes
FAIL-006,Bounded diagnostic retry budget,Failure and Recovery,yes
FAIL-007,Retry-to-green flake signal,Failure and Recovery,yes
FAIL-008,Partial-green never complete,Failure and Recovery,yes
FAIL-009,Recovery acceptance criteria,Failure and Recovery,yes
FAIL-010,Escaped-defect cheapest-boundary tightening,Failure and Recovery,yes
FAIL-011,Systematic debugging owns unexpected failure,Failure and Recovery,no
GOV-001,Owner sovereignty and override freedom,Governance,yes
GOV-002,Source precedence hierarchy,Governance,yes
GOV-003,One normal machine merge authority,Governance,yes
GOV-004,Least-privilege routine agent identity,Governance,yes
GOV-005,Separate owner administrative credentials,Governance,yes
GOV-006,Owner-proven policy-change authorization,Governance,yes
GOV-007,Capability lifecycle and promotion states,Governance,yes
GOV-008,Master Capability Registry omission firewall,Governance,yes
GOV-009,No capability only in conversation,Governance,yes
IMP-001,Clean Implementation Charter,Implementation Quality,no
IMP-002,Stack-native lint analysis and architecture gates,Implementation Quality,no
IMP-003,Library versus local implementation decision contract,Implementation Quality,no
IMP-004,Explicit source generated artifact cache evidence protected planes,Implementation Quality,no
IMP-005,Post-GREEN code simplifier pilot,Implementation Quality,no
MET-001,Outcome and DORA metrics,Metrics and Improvement,yes
MET-002,Gate latency and first-pass-green metrics,Metrics and Improvement,yes
MET-003,Reviewer precision recall and false-block metrics,Metrics and Improvement,yes
MET-004,Context and cold-resume metrics,Metrics and Improvement,yes
MET-005,Mold qualification and mutation metrics,Metrics and Improvement,yes
MET-006,Failure and recovery metrics,Metrics and Improvement,yes
MET-007,Documentation and template metrics,Metrics and Improvement,yes
MET-008,Discovery and autonomy outcome metrics,Metrics and Improvement,yes
MET-009,Decision-changing research ratio,Metrics and Improvement,yes
MET-010,Capability ROI experiments and eject thresholds,Metrics and Improvement,yes
ORC-001,Autonomous phase advancement,Autonomous Orchestration,yes
ORC-002,Machine-selected next safe action,Autonomous Orchestration,yes
ORC-003,Automatic fresh-role dispatch,Autonomous Orchestration,yes
ORC-004,Policy-constrained provider selection,Autonomous Orchestration,yes
ORC-005,Human-by-exception escalation,Autonomous Orchestration,yes
ORC-006,Stop-only-on-defined conditions,Autonomous Orchestration,yes
ORC-007,Bounded autonomous self-healing loop,Autonomous Orchestration,yes
ORC-008,Automatic validated remediation dispatch,Autonomous Orchestration,yes
ORC-009,Exactly-once transition and dispatch semantics,Autonomous Orchestration,yes
ORC-010,Dependency-safe autonomous slice continuation,Autonomous Orchestration,yes
ORC-011,Autonomous Issue and Milestone progression,Autonomous Orchestration,yes
ORC-012,Merge-triggered cleanup and continuation,Autonomous Orchestration,yes
ORC-013,Automatic Release-Mold handoff,Autonomous Orchestration,yes
ORC-014,Orchestration attempt time cost budgets,Autonomous Orchestration,yes
ORC-015,Deadlock and no-progress detection,Autonomous Orchestration,yes
ORC-016,Cross-provider orchestration replay equivalence,Autonomous Orchestration,yes
ORC-017,No model self-promotion of authority,Autonomous Orchestration,yes
REL-001,One VERIFY Issue per Milestone,Release and Runtime,yes
REL-002,Release-level exact-main verification,Release and Runtime,yes
REL-003,Qualified Release Verification Mold,Release and Runtime,yes
