Capability ID,Capability,v4.2 Status,v5 Status,v5 Category,Verification
GOV-001,Owner sovereignty and override freedom,PRESENT,PRESERVED,Governance,Exact stable ID retained in final v5 registry; no silent normative removal.
GOV-002,Source precedence hierarchy,PRESENT,PRESERVED,Governance,Exact stable ID retained in final v5 registry; no silent normative removal.
GOV-003,One normal machine merge authority,PRESENT,PRESERVED,Governance,Exact stable ID retained in final v5 registry; no silent normative removal.
GOV-004,Least-privilege routine agent identity,PRESENT,PRESERVED,Governance,Exact stable ID retained in final v5 registry; no silent normative removal.
GOV-005,Separate owner administrative credentials,PRESENT,PRESERVED,Governance,Exact stable ID retained in final v5 registry; no silent normative removal.
GOV-006,Owner-proven policy-change authorization,PRESENT,PRESERVED,Governance,Exact stable ID retained in final v5 registry; no silent normative removal.
GOV-007,Capability lifecycle and promotion states,PRESENT,PRESERVED,Governance,Exact stable ID retained in final v5 registry; no silent normative removal.
GOV-008,Master Capability Registry omission firewall,PRESENT,PRESERVED,Governance,Exact stable ID retained in final v5 registry; no silent normative removal.
GOV-009,No capability only in conversation,PRESENT,PRESERVED,Governance,Exact stable ID retained in final v5 registry; no silent normative removal.
DISC-001,Ephemeral single-surface idea capture,PRESENT,PRESERVED,Discovery and Autonomy,Exact stable ID retained in final v5 registry; no silent normative removal.
DISC-002,AI Shape/Draft before commitment,PRESENT,PRESERVED,Discovery and Autonomy,Exact stable ID retained in final v5 registry; no silent normative removal.
DISC-003,Decision-changing research contract,PRESENT,PRESERVED,Discovery and Autonomy,Exact stable ID retained in final v5 registry; no silent normative removal.
DISC-004,Bounded research budget and stop rule,PRESENT,PRESERVED,Discovery and Autonomy,Exact stable ID retained in final v5 registry; no silent normative removal.
DISC-005,Explicit Outcome/Bet GO CHANGE DEFER KILL promotion,PRESENT,PRESERVED,Discovery and Autonomy,Exact stable ID retained in final v5 registry; no silent normative removal.
DISC-006,Versioned Product Truth,PRESENT,PRESERVED,Discovery and Autonomy,Exact stable ID retained in final v5 registry; no silent normative removal.
DISC-007,Evidence-weighted Autonomy Envelope,PRESENT,PRESERVED,Discovery and Autonomy,Exact stable ID retained in final v5 registry; no silent normative removal.
DISC-008,Reversibility blast-radius novelty ambiguity factors,PRESENT,PRESERVED,Discovery and Autonomy,Exact stable ID retained in final v5 registry; no silent normative removal.
DISC-009,Autonomous guardrailed advisory owner-gated modes,PRESENT,PRESERVED,Discovery and Autonomy,Exact stable ID retained in final v5 registry; no silent normative removal.
DISC-010,No duplicate discovery backlog,PRESENT,PRESERVED,Discovery and Autonomy,Exact stable ID retained in final v5 registry; no silent normative removal.
THIN-001,Thin Milestone outcome boundary,PRESENT,PRESERVED,Thin Work,Exact stable ID retained in final v5 registry; no silent normative removal.
THIN-002,Thin Spec semantic boundary,PRESENT,PRESERVED,Thin Work,Exact stable ID retained in final v5 registry; no silent normative removal.
THIN-003,One observable Issue outcome,PRESENT,PRESERVED,Thin Work,Exact stable ID retained in final v5 registry; no silent normative removal.
THIN-004,Vertical Thin Slice decomposition,PRESENT,PRESERVED,Thin Work,Exact stable ID retained in final v5 registry; no silent normative removal.
THIN-005,Parent and native sub-Issue dependencies,PRESENT,PRESERVED,Thin Work,Exact stable ID retained in final v5 registry; no silent normative removal.
THIN-006,Slice Complexity Signal,PRESENT,PRESERVED,Thin Work,Exact stable ID retained in final v5 registry; no silent normative removal.
THIN-007,Machine-gated Definition of Ready,PRESENT,PRESERVED,Thin Work,Exact stable ID retained in final v5 registry; no silent normative removal.
THIN-008,Stable one-outcome Prompt Contract,PRESENT,PRESERVED,Thin Work,Exact stable ID retained in final v5 registry; no silent normative removal.
THIN-009,One branch worktree writer PR proof strategy,PRESENT,PRESERVED,Thin Work,Exact stable ID retained in final v5 registry; no silent normative removal.
THIN-010,Reversible or recoverable delivery unit,PRESENT,PRESERVED,Thin Work,Exact stable ID retained in final v5 registry; no silent normative removal.
SPEC-001,Intent Contract,PRESENT,PRESERVED,Specification,Exact stable ID retained in final v5 registry; no silent normative removal.
SPEC-002,Stable acceptance claim IDs,PRESENT,PRESERVED,Specification,Exact stable ID retained in final v5 registry; no silent normative removal.
SPEC-003,Stable invariant IDs,PRESENT,PRESERVED,Specification,Exact stable ID retained in final v5 registry; no silent normative removal.
SPEC-004,Stable forbidden-outcome IDs,PRESENT,PRESERVED,Specification,Exact stable ID retained in final v5 registry; no silent normative removal.
SPEC-005,Explicit non-goals,PRESENT,PRESERVED,Specification,Exact stable ID retained in final v5 registry; no silent normative removal.
SPEC-006,EARS requirement forms,PRESENT,PRESERVED,Specification,Exact stable ID retained in final v5 registry; no silent normative removal.
SPEC-007,Example Mapping,PRESENT,PRESERVED,Specification,Exact stable ID retained in final v5 registry; no silent normative removal.
SPEC-008,Specification by Example,PRESENT,PRESERVED,Specification,Exact stable ID retained in final v5 registry; no silent normative removal.
SPEC-009,BDD domain scenarios,PRESENT,PRESERVED,Specification,Exact stable ID retained in final v5 registry; no silent normative removal.
SPEC-010,ATDD acceptance agreement,PRESENT,PRESERVED,Specification,Exact stable ID retained in final v5 registry; no silent normative removal.
SPEC-011,Risk-adaptive Compact Structured Assured profiles,PRESENT,PRESERVED,Specification,Exact stable ID retained in final v5 registry; no silent normative removal.
SPEC-012,Fresh Specification Critic,PRESENT,PRESERVED,Specification,Exact stable ID retained in final v5 registry; no silent normative removal.
SPEC-013,Semantic Spec digest and version,PRESENT,PRESERVED,Specification,Exact stable ID retained in final v5 registry; no silent normative removal.
SPEC-014,Spec-change proof invalidation graph,PRESENT,PRESERVED,Specification,Exact stable ID retained in final v5 registry; no silent normative removal.
DOC-001,README human front door,PRESENT,PRESERVED,Documentation,Exact stable ID retained in final v5 registry; no silent normative removal.
DOC-002,Short AGENTS constitution router,PRESENT,PRESERVED,Documentation,Exact stable ID retained in final v5 registry; no silent normative removal.
DOC-003,AGENTS bounded bootloader target,PRESENT,PRESERVED,Documentation,Exact stable ID retained in final v5 registry; no silent normative removal.
DOC-004,Import-only provider adapters,PRESENT,PRESERVED,Documentation,Exact stable ID retained in final v5 registry; no silent normative removal.
DOC-005,Canonical routed standards modules,PRESENT,PRESERVED,Documentation,Exact stable ID retained in final v5 registry; no silent normative removal.
DOC-006,Normative explanatory generated ephemeral classes,PRESENT,PRESERVED,Documentation,Exact stable ID retained in final v5 registry; no silent normative removal.
DOC-007,Documentation authority metadata,PRESENT,PRESERVED,Documentation,Exact stable ID retained in final v5 registry; no silent normative removal.
DOC-008,Documentation freshness triggers,PRESENT,PRESERVED,Documentation,Exact stable ID retained in final v5 registry; no silent normative removal.
DOC-009,Unique normative rule IDs,PRESENT,PRESERVED,Documentation,Exact stable ID retained in final v5 registry; no silent normative removal.
DOC-010,No duplicate normative authority,PRESENT,PRESERVED,Documentation,Exact stable ID retained in final v5 registry; no silent normative removal.
DOC-011,Cookbook and Overview non-authority separation,PRESENT,PRESERVED,Documentation,Exact stable ID retained in final v5 registry; no silent normative removal.
DOC-012,Progressive disclosure and context budget,PRESENT,PRESERVED,Documentation,Exact stable ID retained in final v5 registry; no silent normative removal.
DOC-013,Semantic-preserving template formatting,PRESENT,PRESERVED,Documentation,Exact stable ID retained in final v5 registry; no silent normative removal.
DOC-014,Historical Test Ledger is non-gating,PRESENT,PRESERVED,Documentation,Exact stable ID retained in final v5 registry; no silent normative removal.
DOC-015,Frozen requirement-translation corpus,PRESENT,PRESERVED,Documentation,Exact stable ID retained in final v5 registry; no silent normative removal.
VF-001,Two completed SDVFD arcs,PRESENT,PRESERVED,Verification First,Exact stable ID retained in final v5 registry; no silent normative removal.
VF-002,Verification Arc with zero production code,PRESENT,PRESERVED,Verification First,Exact stable ID retained in final v5 registry; no silent normative removal.
VF-003,Verification Mold per slice,PRESENT,PRESERVED,Verification First,Exact stable ID retained in final v5 registry; no silent normative removal.
VF-004,Qualified RED before implementation,PRESENT,PRESERVED,Verification First,Exact stable ID retained in final v5 registry; no silent normative removal.
VF-005,True-RED failure-reason validation,PRESENT,PRESERVED,Verification First,Exact stable ID retained in final v5 registry; no silent normative removal.
VF-006,Criterion-to-evidence traceability,PRESENT,PRESERVED,Verification First,Exact stable ID retained in final v5 registry; no silent normative removal.
VF-007,Independent oracle qualification,PRESENT,PRESERVED,Verification First,Exact stable ID retained in final v5 registry; no silent normative removal.
VF-008,Independent Mold Attack,PRESENT,PRESERVED,Verification First,Exact stable ID retained in final v5 registry; no silent normative removal.
VF-009,Mold process meta-tests,PRESENT,PRESERVED,Verification First,Exact stable ID retained in final v5 registry; no silent normative removal.
VF-010,Frozen mold hash and protected paths,PRESENT,PRESERVED,Verification First,Exact stable ID retained in final v5 registry; no silent normative removal.
VF-011,Builder implementation authorization gate,PRESENT,PRESERVED,Verification First,Exact stable ID retained in final v5 registry; no silent normative removal.
VF-012,Explicit mold reopen and requalification,PRESENT,PRESERVED,Verification First,Exact stable ID retained in final v5 registry; no silent normative removal.
VF-013,Intent-change invalidation of authorization,PRESENT,PRESERVED,Verification First,Exact stable ID retained in final v5 registry; no silent normative removal.
VF-014,Release Verification Mold,PRESENT,PRESERVED,Verification First,Exact stable ID retained in final v5 registry; no silent normative removal.
TEST-001,Seven-part Test Quality Contract,PRESENT,PRESERVED,Testing,Exact stable ID retained in final v5 registry; no silent normative removal.
TEST-002,Empty-green prohibition,PRESENT,PRESERVED,Testing,Exact stable ID retained in final v5 registry; no silent normative removal.
TEST-003,Oracle-change firewall,PRESENT,PRESERVED,Testing,Exact stable ID retained in final v5 registry; no silent normative removal.
TEST-004,TDD RED GREEN REFACTOR,PRESENT,PRESERVED,Testing,Exact stable ID retained in final v5 registry; no silent normative removal.
TEST-005,Acceptance and E2E testing,PRESENT,PRESERVED,Testing,Exact stable ID retained in final v5 registry; no silent normative removal.
TEST-006,Consumer-driven contract testing,PRESENT,PRESERVED,Testing,Exact stable ID retained in final v5 registry; no silent normative removal.
TEST-007,Integration and real persistence testing,PRESENT,PRESERVED,Testing,Exact stable ID retained in final v5 registry; no silent normative removal.
TEST-008,Property-based invariant testing,PRESENT,PRESERVED,Testing,Exact stable ID retained in final v5 registry; no silent normative removal.
TEST-009,Metamorphic relation testing,PRESENT,PRESERVED,Testing,Exact stable ID retained in final v5 registry; no silent normative removal.
TEST-010,State-machine model testing,PRESENT,PRESERVED,Testing,Exact stable ID retained in final v5 registry; no silent normative removal.
TEST-011,Differential and reference testing,PRESENT,PRESERVED,Testing,Exact stable ID retained in final v5 registry; no silent normative removal.
TEST-012,Targeted mutation testing,PRESENT,PRESERVED,Testing,Exact stable ID retained in final v5 registry; no silent normative removal.
TEST-013,Risk-directed fuzz testing,PRESENT,PRESERVED,Testing,Exact stable ID retained in final v5 registry; no silent normative removal.
TEST-014,Security scanner synthetic canaries,PRESENT,PRESERVED,Testing,Exact stable ID retained in final v5 registry; no silent normative removal.
TEST-015,Performance and load budgets,PRESENT,PRESERVED,Testing,Exact stable ID retained in final v5 registry; no silent normative removal.
TEST-016,Fault injection and chaos testing,PRESENT,PRESERVED,Testing,Exact stable ID retained in final v5 registry; no silent normative removal.
TEST-017,Narrow formal and model checking,PRESENT,PRESERVED,Testing,Exact stable ID retained in final v5 registry; no silent normative removal.
TEST-018,Test-impact-aware selection,PRESENT,PRESERVED,Testing,Exact stable ID retained in final v5 registry; no silent normative removal.
CONT-001,Disposable model context principle,PRESENT,PRESERVED,Continuity,Exact stable ID retained in final v5 registry; no silent normative removal.
CONT-002,Git and GitHub outrank recollection,PRESENT,PRESERVED,Continuity,Exact stable ID retained in final v5 registry; no silent normative removal.
CONT-003,Durable Agent Continuity Protocol,PRESENT,PRESERVED,Continuity,Exact stable ID retained in final v5 registry; no silent normative removal.
CONT-004,Append-only Continuity Journal,PRESENT,PRESERVED,Continuity,Exact stable ID retained in final v5 registry; no silent normative removal.
CONT-005,Hash-chained typed continuity events,PRESENT,PRESERVED,Continuity,Exact stable ID retained in final v5 registry; no silent normative removal.
CONT-006,Derived State Snapshot,PRESENT,PRESERVED,Continuity,Exact stable ID retained in final v5 registry; no silent normative removal.
CONT-007,Bounded provider-neutral Task Capsule,PRESENT,PRESERVED,Continuity,Exact stable ID retained in final v5 registry; no silent normative removal.
CONT-008,Atomic checkpoint transaction,PRESENT,PRESERVED,Continuity,Exact stable ID retained in final v5 registry; no silent normative removal.
CONT-009,Deterministic replay and live reconciliation,PRESENT,PRESERVED,Continuity,Exact stable ID retained in final v5 registry; no silent normative removal.
CONT-010,Handoff Acceptance Test,PRESENT,PRESERVED,Continuity,Exact stable ID retained in final v5 registry; no silent normative removal.
CONT-011,Generation-bound one-writer lease,PRESENT,PRESERVED,Continuity,Exact stable ID retained in final v5 registry; no silent normative removal.
CONT-012,Idempotent external side effects,PRESENT,PRESERVED,Continuity,Exact stable ID retained in final v5 registry; no silent normative removal.
CONT-013,Continuity schema evolution and migration,PRESENT,PRESERVED,Continuity,Exact stable ID retained in final v5 registry; no silent normative removal.
CONT-014,Continuity retention and redaction,PRESENT,PRESERVED,Continuity,Exact stable ID retained in final v5 registry; no silent normative removal.
CONT-015,Clean-room provider-switch restore,PRESENT,PRESERVED,Continuity,Exact stable ID retained in final v5 registry; no silent normative removal.
CONT-016,Cross-provider continuity benchmark,PRESENT,PRESERVED,Continuity,Exact stable ID retained in final v5 registry; no silent normative removal.
AGENT-001,Provider-neutral semantic roles,PRESENT,PRESERVED,Agents and Parallelism,Exact stable ID retained in final v5 registry; no silent normative removal.
AGENT-002,Read-only Context Scout,PRESENT,PRESERVED,Agents and Parallelism,Exact stable ID retained in final v5 registry; no silent normative removal.
AGENT-003,Focused fresh task briefs,PRESENT,PRESERVED,Agents and Parallelism,Exact stable ID retained in final v5 registry; no silent normative removal.
AGENT-004,Isolated worktree per implementation Issue,PRESENT,PRESERVED,Agents and Parallelism,Exact stable ID retained in final v5 registry; no silent normative removal.
AGENT-005,Atomic remote branch claim,PRESENT,PRESERVED,Agents and Parallelism,Exact stable ID retained in final v5 registry; no silent normative removal.
AGENT-006,DISPATCHING ACTIVE COMPLETE BLOCKED UNKNOWN states,PRESENT,PRESERVED,Agents and Parallelism,Exact stable ID retained in final v5 registry; no silent normative removal.
AGENT-007,One mutable writer,PRESENT,PRESERVED,Agents and Parallelism,Exact stable ID retained in final v5 registry; no silent normative removal.
AGENT-008,Deterministic parallel safety analysis,PRESENT,PRESERVED,Agents and Parallelism,Exact stable ID retained in final v5 registry; no silent normative removal.
AGENT-009,Fresh-provider independent verifier,PRESENT,PRESERVED,Agents and Parallelism,Exact stable ID retained in final v5 registry; no silent normative removal.
REV-001,Provider-separated Builder and Reviewer,PRESENT,PRESERVED,Independent Review,Exact stable ID retained in final v5 registry; no silent normative removal.
REV-002,Trusted pinned reviewer runtime,PRESENT,PRESERVED,Independent Review,Exact stable ID retained in final v5 registry; no silent normative removal.
REV-003,Passive bounded review context,PRESENT,PRESERVED,Independent Review,Exact stable ID retained in final v5 registry; no silent normative removal.
REV-004,PASS BLOCK INCONCLUSIVE verdicts,PRESENT,PRESERVED,Independent Review,Exact stable ID retained in final v5 registry; no silent normative removal.
REV-005,Separate infrastructure and policy failures,PRESENT,PRESERVED,Independent Review,Exact stable ID retained in final v5 registry; no silent normative removal.
REV-006,Deterministic citation validation,PRESENT,PRESERVED,Independent Review,Exact stable ID retained in final v5 registry; no silent normative removal.
REV-007,Stable finding fingerprints,PRESENT,PRESERVED,Independent Review,Exact stable ID retained in final v5 registry; no silent normative removal.
REV-008,Scope-locked later rounds,PRESENT,PRESERVED,Independent Review,Exact stable ID retained in final v5 registry; no silent normative removal.
REV-009,Resolution by original citation,PRESENT,PRESERVED,Independent Review,Exact stable ID retained in final v5 registry; no silent normative removal.
REV-010,Bounded remediation attempts,PRESENT,PRESERVED,Independent Review,Exact stable ID retained in final v5 registry; no silent normative removal.
REV-011,Frozen reviewer evaluation corpus,PRESENT,PRESERVED,Independent Review,Exact stable ID retained in final v5 registry; no silent normative removal.
REV-012,Only validated P0/P1 findings block,PRESENT,PRESERVED,Independent Review,Exact stable ID retained in final v5 registry; no silent normative removal.
REV-013,P2 findings remain advisory,PRESENT,PRESERVED,Independent Review,Exact stable ID retained in final v5 registry; no silent normative removal.
REV-014,One primary reviewer plus one fallback,PRESENT,PRESERVED,Independent Review,Exact stable ID retained in final v5 registry; no silent normative removal.
REV-015,Verdict-shopping prohibition,PRESENT,PRESERVED,Independent Review,Exact stable ID retained in final v5 registry; no silent normative removal.
REV-016,End-to-end canary before blocking promotion,PRESENT,PRESERVED,Independent Review,Exact stable ID retained in final v5 registry; no silent normative removal.
REV-017,No retroactive review weakening,PRESENT,PRESERVED,Independent Review,Exact stable ID retained in final v5 registry; no silent normative removal.
CI-001,One final required PR Gate,PRESENT,PRESERVED,Control Plane,Exact stable ID retained in final v5 registry; no silent normative removal.
